wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_actions,duration_days,repay_ratio,activity_score,longevity,risk_factor,score,credit_score
0x03369f6db2e2e77a2ef92b6295d6989cd68b8491,1,1,0,0,0,2,0.0011805555555555556,0.0,0.00014020329477742728,7.676292838229503e-06,0.0,0.20004359624700088,225
0x0336bf727c155c2c4789d809d30c8c11f4d3ab49,5,0,0,0,0,5,25.786828703703705,1.0,0.0003505082369435682,0.16767296343435537,0.0,0.5336397451579542,602
0x0337cbd1a09ae0c4e7f802c0ce2cffe880ef49ba,23,8,7,18,0,56,7.104872685185185,0.875,0.003925692253767964,0.04619781174478825,0.0,0.4729172700250881,533
0x0337dcbc6f5f2c2ca665fdd487f7d8f23c305b08,29,19,15,11,0,74,49.35300925925926,0.7894736842105263,0.005187521906764809,0.3209066695244552,0.0,0.5025796957400783,567
0x0338413ee756d4e561f073b1767e6bf5e18393e9,3,1,1,3,0,8,1.6856828703703703,1.0,0.0005608131791097091,0.010960767821943721,0.0,0.5023603975181217,567
0x03387d5015f88aea995e790f18ef7ff9dfa0943c,2,1,2,1,0,6,9.4303125,1.0,0.0004206098843322818,0.06131845296509604,0.0,0.5123898735583189,578
0x0338e55ea1a26c84ffd70d7c79d8094ac36b6148,30,2,1,3,0,36,58.59627314814815,0.5,0.002523659305993691,0.3810088816213294,0.0,0.42695887411606404,482
0x0339928b90de16e4fb37de38acbbbe9449ff756a,2,0,0,0,0,2,7.070081018518518,1.0,0.00014020329477742728,0.045971586879379245,0.0,0.509236378364309,574
0x033a0f17fb49d292785f02b959227cf5cf50f21a,13,5,3,6,0,27,6.631099537037037,0.6,0.0018927444794952682,0.043117210067924655,0.0,0.38919126535743354,439
0x033a10f0fa3a846f441f7d7469a2352f910443ad,17,12,13,20,0,62,2.1150925925925925,1.0,0.0043463021381002455,0.013752906455190317,0.0,0.5040544719324681,569
0x033c88d3eb2ca45023942ae4488882d391a801fd,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x033c9f336f9b7f25cda00b97fe299d1b9a129908,0,0,0,3,0,3,60.00951388888889,1.0,0.0002103049421661409,0.39019815672641933,0.0,0.5781027228279336,652
0x033cd435e2bdf5227787d54d46c9231cf529acd6,2,1,0,0,0,3,0.0006481481481481481,0.0,0.0002103049421661409,4.214435283733845e-06,0.0,0.2000639343697066,225
0x033d66fac8634e3c34be50cf24f5016f31447077,72,0,0,0,0,72,22.195949074074075,1.0,0.005047318611987382,0.14432408886919476,0.0,0.5303790133574351,598
0x033d74a910eaae2518f6b6d9c78af634a4833779,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x033dab06e494cedc8bf20717976a4af9d740c4d9,2,0,0,0,0,2,14.65287037037037,1.0,0.00014020329477742728,0.09527694258373783,0.0,0.5190974495051808,586
0x033dafd977e7c4fa8ccfd4775492e3ee5cbbd1c0,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x033dc008e1ab5d7004e8fabfd834f841a89c7e10,33,8,2,4,0,47,126.193125,0.25,0.003294777427269541,0.8205419703568663,0.0,0.4400968272995541,496
0x033dc48af6f744a1b5f039d2a3dc38ae5424db96,2,0,0,0,0,2,11.16144675925926,1.0,0.00014020329477742728,0.07257475806131161,0.0,0.5145570126006955,580
0x033df985bd88c096ceb0bae2545d35f18eecdfb4,1,1,2,0,0,4,0.034444444444444444,1.0,0.00028040658955485456,0.00022396713222128434,0.0,0.5001289154033107,564
0x033e036bda697d7a7615dcd04cf7f1883904fc6c,2,3,0,0,0,5,16.374259259259258,0.0,0.0003505082369435682,0.10646988063515152,0.0,0.2213991285981134,249
0x033e1be8c2d5de9ff4e5a04618d6cd2db4e6f9ed,2,0,0,0,0,2,19.90165509259259,1.0,0.00014020329477742728,0.12940596631582496,0.0,0.5259232542515982,593
0x033e8cf361b0658925f4c3c2d9be754b86e327ef,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x033ea4c2e32eab510cb29d8c492dd4c1171cea50,8,4,3,6,0,21,76.9527662037037,0.75,0.0014721345951629863,0.5003677847362787,0.0,0.5255151973258047,593
0x033f0b0c71753239adaea7f7394812b79f7176a0,3,0,0,0,0,3,2.837789351851852,1.0,0.0002103049421661409,0.018452077054326478,0.0,0.5037535068935151,568
0x033f35a020fbdaa7108bd8e509fd50a88a9915de,3,0,0,1,0,4,34.20024305555555,1.0,0.00028040658955485456,0.22237926847036468,0.0,0.5445599756709394,614
0x033ff82972978ddd56307e37805c516536e1dfae,0,0,0,1,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x033ffcf5d843a16da224f62b5cb1c4980310f796,49,30,28,29,0,136,57.12385416666667,0.9333333333333333,0.009533824044865054,0.37143481352327995,0.0,0.5571471099181156,629
0x03402343d6192caec409b0570cf59905969adc2a,34,34,34,2,0,104,74.89990740740741,1.0,0.007290571328426218,0.48701953932609976,0.0,0.5995910792637478,676
0x0340389d85c806f7f5f66d6cd2fd1f91d6f7dd10,2,0,0,0,0,2,8.001296296296296,1.0,0.00014020329477742728,0.052026601515510924,0.0,0.5104473812915354,576
0x03407689dca8b86e8dd3c867899f1fb168c21bb7,1,0,0,1,0,2,0.0002777777777777778,1.0,0.00014020329477742728,1.806186550171648e-06,0.0,0.5000424222257432,564
0x03408ddff230918d5235152f2caac102e3d48202,2,0,0,0,0,2,6.947199074074074,1.0,0.00014020329477742728,0.04517257510424707,0.0,0.5090765760092826,574
0x0340af84322e83ae445c375c10a6ac90989b85f6,37,26,25,40,0,128,30.68259259259259,0.9615384615384616,0.008973010865755346,0.1995065498344931,0.0,0.5310547516881636,599
0x0340c0b1ef5d48083ac0afb00322b38b21f0d8db,15,8,5,3,0,31,51.44752314814815,0.625,0.0021731510690501227,0.33452576765938696,0.0,0.45505709885259243,513
0x03413203ef38895fb2661a62046949893ae9fd6b,10,2,3,5,0,20,8.185613425925926,1.0,0.0014020329477742728,0.05322508154932274,0.0,0.5110656261941968,577
0x0341ab2d783648be716fa78a48eedf13f151335e,13,5,3,5,0,26,74.50600694444445,0.6,0.0018226428321065544,0.4844582915401835,0.0,0.47743845115766864,539
0x034272d147bcf7a5d27937e80fed03aa3b60a6d1,2,0,0,0,0,2,6.870578703703703,1.0,0.00014020329477742728,0.044674368647491386,0.0,0.5089769347179316,574
0x0344e6dc73a4128d7a889509a13c3dd25b4b688a,6,6,0,0,0,12,0.030914351851851853,0.0,0.0008412197686645636,0.00020101351147951965,0.0,0.2002925686328953,226
0x0345e39554c2fe41f68b3516d1c94dae0ff0c458,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x0345fa5dc69c9ca90a441215e2fa8a0b36469286,0,0,0,6,0,6,78.32576388888889,1.0,0.0004206098843322818,0.5092953885649125,0.0,0.6019852606782823,679
0x03470c993d22b5405ed10a1e51afe1505be32ccd,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x03471b120914390f8a4fc104e601c32d89989399,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x03478c0564936f7a51138d28d1cdce99855c2b7f,2,1,0,0,2,5,7.539560185185185,0.0,0.0003505082369435682,0.0490242679224881,0.3333333333333333,0.14324333938891404,161
